"id";"cand_id";"funds";"state_code";"year"
316;11;501650.0;"MD";1988
317;12;113975.0;"MD";1988
318;13;298550.0;"MD";1984
319;14;72045.0;"MD";1984
320;14;64851.0;"MD";1980
321;15;266849.0;"MD";1980
322;2;798957.66;"DE";2016
323;1;250567.31;"DE";2016
324;4;2537745.2;"DE";2012
325;4;2127772.58;"DE";2008
326;3;776168.52;"DE";2012
327;5;357392.0;"DE";2008
328;7;263889.6;"DE";2004
329;6;552480.4;"DE";2004
330;8;105250.0;"DE";2000
331;6;14500.0;"DE";2000
332;10;24150.0;"DE";1996
333;9;13700.0;"DE";1996
334;10;8800.0;"DE";1992
335;11;95900.0;"DE";1992
336;11;42660.0;"DE";1988
337;13;7200.0;"DE";1984
338;14;45500.0;"DE";1984
339;14;8850.0;"DE";1980
340;15;10950.0;"DE";1980
341;2;17527667.03;"DC";2016
342;1;215630.06;"DC";2016
343;4;33127017.74;"DC";2008
344;4;25958361.68;"DC";2012
345;3;2684061.18;"DC";2012
346;5;2258005.7;"DC";2008
347;7;6935991.74;"DC";2004
348;6;2257408.75;"DC";2004
349;8;3037164.0;"DC";2000
350;6;122886.0;"DC";2000
351;10;794445.0;"DC";1996
352;9;477380.0;"DC";1996
353;10;639639.0;"DC";1992
354;11;1065572.0;"DC";1992
355;11;513716.0;"DC";1988
356;12;126200.0;"DC";1988
357;13;431605.0;"DC";1984
358;14;65750.0;"DC";1984
359;14;100559.0;"DC";1980
360;15;425336.0;"DC";1980
361;2;15972409.46;"VA";2016
362;1;3244201.32;"VA";2016
363;4;34388918.82;"VA";2008
364;4;31700988.42;"VA";2012
365;3;14776922.54;"VA";2012
366;5;9058144.870000001;"VA";2008
367;7;6078024.96;"VA";2004
368;6;8834267.93;"VA";2004
369;8;2330350.0;"VA";2000
370;6;342768.0;"VA";2000
371;10;608519.0;"VA";1996
372;9;999166.0;"VA";1996
373;10;397864.0;"VA";1992
374;11;1585365.0;"VA";1992
375;11;468000.0;"VA";1988
376;12;60800.0;"VA";1988
377;13;148467.0;"VA";1984
378;14;120335.0;"VA";1984
379;14;112885.0;"VA";1980
380;15;215272.0;"VA";1980
381;2;1658852.57;"KY";2016
382;1;1220097.25;"KY";2016
383;4;4843650.98;"KY";2008
384;4;4560801.68;"KY";2012
385;3;3455228.38;"KY";2012
386;5;1253752.06;"KY";2008
387;7;987333.62;"KY";2004
388;6;2509263.67;"KY";2004
389;8;425174.0;"KY";2000
390;6;61900.0;"KY";2000
391;10;48750.0;"KY";1996
392;9;81192.0;"KY";1996
393;10;98030.0;"KY";1992
394;11;869385.0;"KY";1992
395;11;316648.0;"KY";1988
396;12;2000.0;"KY";1988
397;13;8500.0;"KY";1984
398;14;73200.0;"KY";1984
399;14;17015.0;"KY";1980
400;15;187755.0;"KY";1980
401;2;2749232.63;"WI";2016
402;1;1265850.99;"WI";2016
403;4;9788076.48;"WI";2008
404;4;9566578.18;"WI";2012
405;3;4601527.34;"WI";2012
406;5;1756439.6099999999;"WI";2008
407;7;1217674.74;"WI";2004
408;6;2158377.4;"WI";2004
409;8;262725.0;"WI";2000
410;6;65970.0;"WI";2000
411;10;104895.0;"WI";1996
412;9;161620.0;"WI";1996
413;10;59616.0;"WI";1992
414;11;533596.0;"WI";1992
415;11;237550.0;"WI";1988
416;12;2500.0;"WI";1988
417;13;41700.0;"WI";1984
418;14;44750.0;"WI";1984
419;14;35994.0;"WI";1980
420;15;43504.0;"WI";1980
421;2;6645869.76;"NC";2016
422;1;2956261.64;"NC";2016
423;4;19395568.54;"NC";2012
424;4;17169751.08;"NC";2008
425;3;7779188.87;"NC";2012
426;5;2935597.07;"NC";2008
427;7;1898338.91;"NC";2004
428;6;4649237.21;"NC";2004
429;8;953233.0;"NC";2000
430;6;106835.0;"NC";2000
431;10;258625.0;"NC";1996
432;9;274237.0;"NC";1996
433;10;153055.0;"NC";1992
434;11;677505.0;"NC";1992
435;11;152500.0;"NC";1988
436;12;3000.0;"NC";1988
437;13;98950.0;"NC";1984
438;14;44600.0;"NC";1984
439;14;47905.0;"NC";1980
440;15;271264.0;"NC";1980
441;2;3726050.93;"TN";2016
442;1;2381128.9;"TN";2016
443;4;8790447.02;"TN";2012
444;4;7315540.98;"TN";2008
445;3;6901848.83;"TN";2012
446;5;2999664.88;"TN";2008
447;7;1260194.4;"TN";2004
448;6;4843200.07;"TN";2004
449;8;4094517.0;"TN";2000
450;6;96051.0;"TN";2000
451;10;620950.0;"TN";1996
452;9;155262.0;"TN";1996
453;10;342845.0;"TN";1992
454;11;821225.0;"TN";1992
455;11;344219.0;"TN";1988
456;12;1000.0;"TN";1988
457;13;66900.0;"TN";1984
458;14;64050.0;"TN";1984
459;14;101675.0;"TN";1980
460;15;176575.0;"TN";1980
461;2;2278863.66;"SC";2016
462;1;1523845.51;"SC";2016
463;4;5068439.64;"SC";2012
464;4;4487326.34;"SC";2008
465;3;3702300.2;"SC";2012
466;5;2631699.25;"SC";2008
467;7;490448.58;"SC";2004
468;6;3256781.49;"SC";2004
469;8;296050.0;"SC";2000
470;6;60400.0;"SC";2000
471;10;75250.0;"SC";1996
472;9;200442.0;"SC";1996
473;10;78552.0;"SC";1992
474;11;167542.0;"SC";1992
475;11;98250.0;"SC";1988
476;12;7000.0;"SC";1988
477;13;5600.0;"SC";1984
478;14;32650.0;"SC";1984
479;14;21726.0;"SC";1980
480;15;87545.0;"SC";1980
481;2;7040744.99;"GA";2016
482;1;4351139.01;"GA";2016
483;4;18063844.62;"GA";2012
484;4;17239689.08;"GA";2008
485;3;11669252.62;"GA";2012
486;5;5100095.7299999995;"GA";2008
487;7;2345036.98;"GA";2004
488;6;7015996.380000001;"GA";2004
489;8;1132379.0;"GA";2000
490;6;166131.0;"GA";2000
491;10;198276.0;"GA";1996
492;9;294390.0;"GA";1996
493;10;231329.0;"GA";1992
494;11;924157.0;"GA";1992
495;11;322602.0;"GA";1988
496;12;11000.0;"GA";1988
497;13;87395.0;"GA";1984
498;14;111475.0;"GA";1984
499;14;85225.0;"GA";1980
500;15;674443.0;"GA";1980
501;2;1862905.4;"AL";2016
502;1;1660780.86;"AL";2016
503;4;4156999.66;"AL";2012
504;4;3282389.84;"AL";2008
505;3;4217044.94;"AL";2012
506;5;1867084.88;"AL";2008
507;7;518214.0;"AL";2004
508;6;3217143.38;"AL";2004
509;8;739629.0;"AL";2000
510;6;117500.0;"AL";2000
511;10;101900.0;"AL";1996
512;9;143727.0;"AL";1996
513;10;117400.0;"AL";1992
514;11;638040.0;"AL";1992
515;11;379050.0;"AL";1988
516;12;22500.0;"AL";1988
517;13;45738.0;"AL";1984
518;14;79800.0;"AL";1984
519;14;55761.0;"AL";1980
520;15;169775.0;"AL";1980
521;2;21897271.63;"FL";2016
522;1;11196378.99;"FL";2016
523;4;43035168.72;"FL";2012
524;4;40504916.1;"FL";2008
525;3;32921596.94;"FL";2012
526;5;15640629.91;"FL";2008
527;7;6683191.82;"FL";2004
528;6;17331566.310000002;"FL";2004
529;8;3117758.0;"FL";2000
530;6;356714.0;"FL";2000
531;10;1649764.0;"FL";1996
532;9;1356230.0;"FL";1996
533;10;998209.0;"FL";1992
534;11;3932595.0;"FL";1992
535;11;2120681.0;"FL";1988
536;12;228900.0;"FL";1988
537;13;558058.0;"FL";1984
538;14;390525.0;"FL";1984
539;14;413484.0;"FL";1980
540;15;1214919.0;"FL";1980
541;2;607743.9;"MS";2016
542;1;1185191.93;"MS";2016
543;4;1791418.58;"MS";2012
544;4;1535959.66;"MS";2008
545;3;2372893.25;"MS";2012
546;5;1405176.0;"MS";2008
547;7;412259.88;"MS";2004
548;6;955398.65;"MS";2004
549;8;167750.0;"MS";2000
550;6;33361.0;"MS";2000
551;10;32850.0;"MS";1996
552;9;144469.0;"MS";1996
553;10;73156.0;"MS";1992
554;11;491045.0;"MS";1992
555;11;63750.0;"MS";1988
556;13;21750.0;"MS";1984
557;14;50245.0;"MS";1984
558;14;72010.0;"MS";1980
559;15;152403.0;"MS";1980
560;2;5117937.13;"MN";2016
561;1;1187344.11;"MN";2016
562;4;13394948.82;"MN";2012
563;4;12231866.6;"MN";2008
564;3;3792911.71;"MN";2012
565;5;2472241.42;"MN";2008
566;7;2550199.38;"MN";2004
567;6;2651001.65;"MN";2004
568;8;416755.0;"MN";2000
569;6;66400.0;"MN";2000
570;10;99150.0;"MN";1996
571;9;348508.0;"MN";1996
572;10;139915.0;"MN";1992
573;11;576585.0;"MN";1992
574;11;162250.0;"MN";1988
575;12;13750.0;"MN";1988
576;13;485820.0;"MN";1984
577;14;47500.0;"MN";1984
578;14;43840.0;"MN";1980
579;15;178606.0;"MN";1980
580;2;1701711.22;"IA";2016
581;1;852983.79;"IA";2016
582;4;4670032.06;"IA";2012
